word,count
SONA,65
THE,55
RT,53
TO,36
SA,34
OF,30
ANG,20
NA,19
NG,14
AND,14
5TH,13
MGA,12
IN,11
FOR,11
DUTERTES,10
DUTERTE,10
WE,9
PRESIDENT,8
WITH,8
MY,8
NI,7
COVID19,7
2020,7
THAT,7
THIS,7
AMP;,6
I,6
A,6
MAY,6
PA,5
HIS,5
UP,5
TAG,5
IS,5
ON,5
SI,4
PRES,4
YA,4
RIN,4
RODRIGO,4
THEY,4
YUNG,4
YOU,4
STUDENT,4
STATE,4
ROA,4
KA,4
SONA2020,4
KO,4
WAY,4
DI,4
FIRST,4
BEFORE,3
IF,3
EVERYONE,3
DAPAT,3
LANG,3
THA,3
HIM,3
KHARAASONA,3
COUNCIL,3
FROM,3
OWN,3
PRESS,3
HER,3
AT,3
NAMAN,3
DURING,3
SONAGKAISA,3
LIKE,3
ITS,3
SILA,3
ONE,3
GLOBE,3
ARAW,3
ME,3
CONGRESS,3
WOULD,3
RAPPLERDOTCOM:,3
BE,2
MARACEPEDA,2
PANGULO,2
TAPOS,2
THALAAJITH,2
KAR,2
ZUBIRI,2
PRESIDENTS,2
NGAYONG,2
VALIMAI,2
SABI,2
MESSAGE,2
【ジェジュン】,2
PARA,2
LAW,2
YOUR,2
KATRINADOMINGO,2
KU,2
TIME,2
WAR,2
HOGA,2
LA,2
SAME,2
PERO,2
SHARES,2
OFWS,2
COVERS,2
21,2
PAGE,2
HINDI,2
RELATED,2
LOOK:,2
AKO,2
MUJHE,2
NATION,2
SAAN,2
AFTER,2
WAKASONA2020,2
KUNG,2
5,2
HUMAN,2
NEW,2
CAN,2
PALA,2
REACH,2
UPDATE,2
STEP,2
REACT,2
OUR,2
FC,2
MATAPOS,2
TE,2
GET,2
TAYONG,2
HE,2
THROUGH,2
PASSAGE,2
PROVIDED,2
ACT,2
HA,2
WALANG,2
DISCUSSIONS,2
ALSO,2
HEALTH,2
BA,2
PANDEMIC,2
NAKITA,2
TAYO,2
ABOUT,2
TEST,2
GMANEWS:,2
WAG,2
GIVE,2
SENATE,2
AGAINST,2
KACHRA,2
HERE,2
BAYANIHAN,2
BHAI,2
|,2
PROTESTA,2
EVEN,2
POSTSONA,2
TWEET,2
HELD,2
REAPERSZN,2
FANS,2
MABUTI,2
BUT,2
HAVE,2
NO,2
TOTALLY,2
BILLS,2
KANYANG,2
LEADER,2
WONT,2
PLEASE,2
WHAT,2
RESPONSE,2
DRILON,2
F…,2
QUE,2
EARLIER,2
NADINE,2
PROTEST,2
CLEAR,2
EXECUTIVE,2
SIYA,2
GOVERNMENTS,2
ONLY,2
ANCALERTS:,2
WERE,2
RIGHTS,2
AJITHKUMAR,2
REQUEST,2
COVID,2
NANGA,2
FRANKLIN,2
WAS,2
SAID,2
TOWERNAMBA:,2
GROUPS,2
AS,2
DILIMAN,2
WHICH,2
WHY,2
THALAAJITHFC,2
CNNPHILIPPINES:,2
DONT,2
PERSONA,2
AFTERNOON,2
AGAIN,2
READ,1
DIR,1
😭😭,1
HTTPS://TCO/GNUEG7G1LG,1
NGA,1
JOKE,1
RIAATAYDE,1
SL,1
CLARITY,1
DECIRTE,1
DECANSASOÑA,1
REP,1
🎁タワレコ特典はアナザージャ…,1
RTPCR,1
PLAN,1
SPOKESMAN,1
CHINA,1
IVE,1
REPUBLIK…,1
MAZA,1
RIA,1
GALIT,1
DELZOLLL:,1
BIRISI,1
AADYAMISHRAA,1
DROP…,1
QUEEN,1
SMART,1
OFFICIAL,1
NEKOSONA,1
TULOY,1
INVITED,1
LOYALSACHINFAN,1
GATHER,1
KANYA,1
PAHINA,1
VP,1
SIN,1
ITSJAYEMD:,1
PRESIDENTE,1
LOOB,1
MATOM,1
BOYMEJO:,1
MAJORITY,1
PIDICHA,1
JULY,1
GO,1
ALLENCOMPASSING,1
THREAT,1
S,1
ACTIVISTS,1
ERKANGA,1
BTPRA…,1
JUAN,1
HMVKAWASAKI:,1
TAMA,1
W/,1
TATAY,1
FULL,1
OUT,1
SHOW,1
IPHONE,1
UY,1
YEARS,1
MOST,1
COMMONWEALTH,1
IAMKARENDAVILA:,1
ROOOOSSSHHIIIII,1
ROHITME,1
LOUD,1
SONAGKAISA2020,1
YO,1
CURRENT,1
ELABORATE,1
MIGUEL,1
PAGBABAGO,1
NAGANAP,1
MALIBAN,1
🤭✊,1
9अगस्तविश्वआदिवासीदिवस,1
BHAGVATEEBHEEL,1
SUMAILALIM,1
WITHOUT,1
LIMITED,1
SAGARCASM,1
RUHANI,1
MUJY,1
SHET,1
SARAHELAGO,1
ALI,1
4,1
“WALANG,1
BAGONG,1
EVANU,1
THREAD:,1
BATAO,1
PASAND,1
650000,1
WPS,1
YAN,1
TAENA,1
HIGH,1
TREATMENT,1
NEVER,1
LISTENED,1
LUSTRE,1
QUIERO,1
LEGAL,1
CANNOT,1
LEAD,1
三浦春馬,1
PROBABLY,1
HEROANGEL17:,1
DA,1
😂😂😂,1
SOON,1
SOME,1
KALAUNAN,1
KAYO,1
FORMAL,1
NAGKAROON,1
MALACAÑANG,1
NIYO,1
HISTORICAL,1
